H2,O2,N2,CH4,CO,CO2,C2H4
4195.7908,,,223.6449,939.6427,,564.2346
5881.9174,,,259.9335,745.0113,,491.8146
8283.3212,,,215.1731,304.3754,,333.1337
9888.4835,,,173.0345,245.5077,,275.8183
8414.3703,,,168.684,400.6466,,354.2893
8326.0044,,,154.676,406.6394,,357.3139
9024.4516,,,155.1738,308.2382,,331.4462
