H2,O2,N2,CH4,CO,CO2,C2H4
0.00865981,0,1.78638684,0.00356583,0.00848979,0,0
0.14194471,0,0.50542463,0,0.00208583,0,0
0.17142175,0,0.35886052,0,0.00383843,0,0
0.16843503,0,0.31130894,0.00386899,0.00602606,0,0
0.16359543,0,0.30418261,0,0,0,0
0.15963075,0,0.29179215,0,0.00807349,0,0
0.15813702,0,0.29661076,0,0.00232111,0,0
0.14042144,0,0.30935244,0.00349407,0.01220002,0,0
0.04126745,0,0.30058846,0.00018913,0.01094055,0,0
0.00822732,0,0.30074608,0,0,0,0
0.00311578,0,0.30139384,0.00073821,0.0113823,0,0
0.00167343,0,0.29638709,0.00152202,0.01095543,0,0
