H2,O2,N2,CH4,CO,CO2,C2H4
0.00196355,0,1.66990832,0,0.0103922,0,0
0.04450579,0,0.35537935,0,0.00894306,0,0
0.07926576,0,0.30862768,0.00316789,0.01751928,0,0
0.07850966,0,0.29472941,0,0.04337566,0,0
0.07723051,0,0.30485816,0.00423697,0.00065398,0,0
0.08151641,0,0.27756453,0.0012258,0.00423889,0,0
0.07339209,0,0.28745913,0,0.00276575,0,0
0.07370468,0,0.25940476,0,0.02453496,0,0
0.05843784,0,0.3905186,0,0.00335011,0,0
0.01753476,0,0.45263808,0,0.01239833,0,0
0.00641041,0,0.44388504,0.00508539,0.00523427,0,0
