H2,O2,N2,CH4,CO,CO2,C2H4
33107.7722,,,131.4632,13306.9279,,2098.35
43991.6529,,,141.6516,11928.6597,,1653.4002
52639.5361,,,148.6601,10474.0975,,1144.7498
60080.1305,,,143.4467,8736.5657,,716.0738
66500.9825,,,141.7904,6630.172,,472.8982
71986.6802,,,139.0178,3808.5763,,371.0248
71553.3711,,,0,53.2138,,18.25
