H2,O2,N2,CH4,CO,CO2,C2H4
0.00075683,0,1.26935116,0.00202347,0.01272388,0,0
0.08099862,0,1.25869309,0.00306707,0.03409984,0,0
0.25106001,0,1.2429399,0.0009877,0.01154603,0,0
0.29283848,0,1.26570418,0.00006036,0.0029823,0,0
0.2905005,0,1.22778572,0.00201654,0.00126091,0,0
0.29050782,0,1.26949739,0,0.00723224,0,0
0.3008011,0,1.27901208,0,0.036783,0,0
0.28983966,0,1.26364791,0.0048947,0.00097473,0,0
0.27807229,0,1.24828829,0,0.02520191,0,0
0.28028672,0,1.24908684,0,0.01631743,0,0
0.24327877,0,1.25506934,0,0.03144501,0,0
0.08933821,0,1.28260076,0,0.00230431,0,0
0.02112755,0,1.26409615,0.00345048,0.0042485,0,0
0.00857377,0,1.25176491,0.00059535,0.01106203,0,0
0.00322594,0,1.27671802,0,0.01063852,0,0
