H2,O2,N2,CH4,CO,CO2,C2H4
0.00953765,0,0.64096989,0.00456159,0.00433348,0,0
0.03789772,0,0.13274419,0.00740956,0.0049553,0,0
0.03750348,0,0.1068413,0.00096401,0.01197962,0,0
0.03521235,0,0.09334663,0,0.00580135,0,0
0.03759012,0,0.08502179,0,0.0046259,0,0
0.03599502,0,0.09310565,0,0.00904678,0,0
0.03666289,0,0.09555231,0,0.0099783,0,0
0.02584058,0,0.10007346,0,0.00916874,0,0
0.00369851,0,0.09147075,0.00496624,0.01025103,0,0
0.00120805,0,1.04063329,0.00395305,0.00579607,0,0
0.00099101,0,1.05621521,0.00403331,0.00273886,0,0
