H2,O2,N2,CH4,CO,CO2,C2H4
0.00148817,0,0.17754345,0,0,0,0
0.02021203,0,0.10177351,0.00584931,0.00389029,0,0
0.02232009,0,0.10588331,0.00431522,0.010627,0,0
0.02228482,0,0.09094507,0,0.00244884,0,0
0.023326,0,0.08790166,0,0.01739588,0,0
0.02283013,0,0.08737005,0.00371272,0.00651103,0,0
0.02231006,0,0.09491867,0.00241493,0.00687595,0,0
0.02024433,0,0.08026513,0.00319248,0.01040084,0,0
0.00335534,0,0.087176,0.00692711,0.00206423,0,0
0.00093843,0,2.75350462,0.00622087,0.00989715,0,0
0,0,0.81095607,0.00271741,0.00886624,0,0
