H2,O2,N2,CH4,CO,CO2,C2H4
0.00047003,0,0.09917151,0,0.00801635,0,0
0.00247363,0,0.10281485,0,0.00387973,0,0
0.00058828,0,0.62067413,0.00214084,0.00665652,0,0
0.08206624,0,0.13998578,0.00417974,0.00315612,0,0
0.09153356,0,0.10275381,0.00518354,0.00420384,0,0
0.09580171,0,0.10342663,0,0.00288579,0,0
0.08589717,0,0.0977949,0.00512452,0,0,0
0.09219316,0,0.10255019,0.00346344,0.00820985,0,0
0.09398467,0,0.11257052,0,0.00468977,0,0
0.08699351,0,0.10787672,0,0.00308842,0,0
0.01969971,0,0.11371254,0.00192823,0.00859927,0,0
0.00326543,0,0.10597488,0.00256092,0.00530342,0,0
0.00332615,0,3.38860043,0.00527274,0.00609137,0,0
