H2,O2,N2,CH4,CO,CO2,C2H4
0.00226382,0,0.450165,0,0.00399305,0,0
0.00148572,0,3.06161755,0.00039705,0,0,0
0.0018707,0,0.89431016,0.00490297,0.00314748,0,0
0.03611082,0,0.52552907,0,0.02086651,0,0
0.04844941,0,0.46886048,0,0.00243395,0,0
0.04731104,0,0.47007037,0,0.0063084,0,0
0.04938121,0,0.47774425,0,0.00808117,0,0
0.04997277,0,0.48543454,0,0.0030985,0,0
0.05069774,0,0.47202187,0.00311871,0.00848643,0,0
0.04874926,0,0.4631431,0.00477285,0.00448474,0,0
0.01170311,0,0.49980611,0.00415917,0.00701664,0,0
0.00272903,0,0.50263769,0,0.02735065,0,0
0.00100242,0,0.45460416,0.0012676,0.00139104,0,0
0.00058389,0,0.45518314,0,0.01195898,0,0
0.00039674,0,0.46629265,0,0.0016316,0,0
0.0004398,0,0.45496175,0.00370981,0.04846924,0,0
0,0,0.45590835,0.00637759,0.0079472,0,0
