H2,O2,N2,CH4,CO,CO2,C2H4
0,0,1.54391829,0.00105589,0.01390364,0,0
0.00066283,0,4.40790618,0.00156226,0.00405787,0,0
0.01887427,0,2.81732551,0,0.00399257,0,0
0.03201828,0,2.71800823,0.00379141,0.00816808,0,0
0.02963616,0,2.6797545,0,0.00636554,0,0
0.02915536,0,2.69208529,0,0,0,0
0.02912311,0,2.68567368,0,0.01078593,0,0
0.03008742,0,2.6868854,0,0.00678472,0,0
0.03007153,0,2.67371142,0,0.01081138,0,0
0.01357334,0,2.69310796,0,0.00491016,0,0
0.00194942,0,2.68105641,0.00189671,0,0,0
0.00135054,0,2.7030062,0,0.02256389,0,0
0.00093188,0,4.41618092,0.00019875,0.00064918,0,0
0,0,2.95899448,0.00323407,0.00841056,0,0
