H2,O2,N2,CH4,CO,CO2,C2H4
0.00201608,0,2.7533388,0,0.00500427,0,0
0.02443509,0,2.69829555,0.00016208,0.00320894,0,0
0.06752802,0,2.7038544,0,0,0,0
0.06942684,0,2.71518348,0.00113973,0.02923961,0,0
0.07180229,0,2.65623495,0,0.00177613,0,0
0.0737589,0,2.71676736,0,0.00512143,0,0
0.07590335,0,2.70363985,0.00714262,0.01698486,0,0
0.07725562,0,2.72123066,0,0.01029521,0,0
0.08228422,0,2.70984966,0.00129868,0.00669349,0,0
0.07459506,0,2.70702126,0,0.00268412,0,0
0.07400225,0,2.77569265,0,0,0,0
0.08405592,0,2.72545161,0.00226716,0.00012916,0,0
0.07908606,0,2.69840761,0,0.01938664,0,0
0.08063792,0,2.69930228,0,0,0,0
0.08214478,0,2.74020537,0.00235904,0.00118216,0,0
0.04592799,0,2.7060241,0.0003378,0.00728217,0,0
0.00658279,0,2.69018754,0,0.01343932,0,0
0.00105337,0,2.73145233,0.00179588,0.00123114,0,0
0,0,8.36952986,0.00025151,0.006778,1022.103903,0
