H2,O2,N2,CH4,CO,CO2,C2H4
0,0,1.51764004,0,0.01584495,0,0
0.01301232,0,1.45548412,0,0.00056419,0,0
0.05202373,0,1.49039606,0,0.0055603,0,0
0.04776837,0,1.4447158,0.00250078,0.01268931,0,0
0.04711188,0,1.67876613,0,0.00020407,0,0
0.04727229,0,1.7631397,0,0,0,0
0.04654452,0,1.86379442,0,0.00497786,0,0
0.04711963,0,3.49107318,0.00107445,0,0,0
0.05392187,0,7.66096363,0,0.00367614,1042.668278,0
0.06150355,0,11.11602385,0.00964586,0.01105243,962.777095,0
0.0745206,0,13.15842675,0,0.00416879,907.4227438,0
0.08527297,0,14.53686726,0.00614665,0.00489192,876.0534134,0
0.09757884,0,15.85025421,0,0.00509262,834.0360487,0
0.00615629,0,3.0602792,0.00619963,0.01128627,0,0
0.00055625,0,1.97264917,0,0.00051282,0,0
0.00098856,0,1.64924495,0.00453498,0.0023264,0,0
0,0,1.54391829,0.00105589,0.01390364,0,0
