H2,O2,N2,CH4,CO,CO2,C2H4
0,0,2.71321604,0,0.00377697,0,0
0.00193698,0,2.71217013,0.00430963,0.00250118,0,0
0.03818973,0,3.28331113,0,0.0039748,0,0
0.09492551,0,2.74517659,0.00546501,0,0,0
0.0915619,0,2.73583318,0,0.00754915,0,0
0.08820255,0,2.69153592,0,0.002348,0,0
0.09034244,0,2.69458707,0,0.01479051,0,0
0.09537573,0,2.70883655,0.00306192,0.00600782,0,0
0.09677838,0,2.71378955,0.01190139,0.00859014,0,0
0.04692197,0,2.67821936,0.00456516,0.00832797,0,0
0.00669772,0,2.67626513,0.00112519,0.01827602,0,0
0.00121688,0,2.71589821,0,0.02216295,0,0
0,0,3.81728894,0.00327654,0.01030769,0,0
0,0,1.58811716,0,0.00336355,0,0
