Area (cm2),1.33,,
Electrolyte ,KHSO4,,
Conc (M),1,,
Loading (mg/cm2),0.6,,
pH initial vs final,0.2,0.62,
ZIR (Ohm),4.231,3.931,
Ref,Ag/AgCl,,
V,,,
CO2 Flow Rate input vs output (mL/min),10,10,
Electrolyte Flow Rate (mL/min),1,,
Type,CP,,
,,,
t (s),i (mA),Ewe (V),Ecell (V)
3.00E+01,0,-0.060806673,0.5556823
3.00E+01,-72.06266,-0.60840803,0.9472838
3.00E+01,-105.45128,-1.367731,1.2591975
3.50E+01,-132.90109,-1.5305568,2.2762411
4.00E+01,-132.95451,-1.5175537,2.2999172
4.50E+01,-132.90872,-1.5088416,2.2894022
5.00E+01,-132.96216,-1.50226,2.2950034
5.50E+01,-133.01939,-1.4999348,2.3117039
6.00E+01,-133.01559,-1.4961019,2.3019791
6.50E+01,-132.99268,-1.4963081,2.3126316
7.00E+01,-133.01176,-1.4893674,2.3212225
7.50E+01,-132.96216,-1.4861414,2.3359299
8.00E+01,-132.95834,-1.485103,2.3178892
8.50E+01,-133.01939,-1.4813616,2.3268924
9.00E+01,-133.00414,-1.4787465,2.3319092
9.50E+01,-133.00797,-1.478277,2.3502934
1.00E+02,-132.9736,-1.4754251,2.3622174
1.05E+02,-132.9278,-1.4720578,2.3851719
1.10E+02,-132.9507,-1.4689885,2.3950343
1.15E+02,-133.02704,-1.4696604,2.4110131
1.20E+02,-132.93163,-1.4734552,2.3318405
1.25E+02,-132.99651,-1.4695115,2.3348989
1.30E+02,-132.97742,-1.4657053,2.3480599
1.35E+02,-132.98888,-1.4715463,2.3488159
1.40E+02,-133.00414,-1.4697062,2.3462386
1.45E+02,-132.94688,-1.4690839,2.350534
1.50E+02,-132.96596,-1.4695954,2.363111
1.55E+02,-133.02704,-1.4673011,2.3781962
1.60E+02,-132.97742,-1.4682516,2.3930414
1.65E+02,-132.96596,-1.4699658,2.4074049
1.70E+02,-133.00795,-1.4701719,2.3912544
1.75E+02,-132.9507,-1.4715539,2.3566506
1.80E+02,-132.97742,-1.4715234,2.3664098
1.85E+02,-132.99268,-1.4719434,2.3699491
1.90E+02,-132.98888,-1.4742721,2.3575442
1.95E+02,-132.98888,-1.4746348,2.3679905
2.00E+02,-133.00414,-1.4734323,2.3741415
2.05E+02,-132.95834,-1.4773722,2.3668909
2.10E+02,-132.98123,-1.4804913,2.3612897
2.15E+02,-132.92781,-1.4791131,2.3737292
2.20E+02,-132.9736,-1.4774561,2.3697431
2.25E+02,-132.99651,-1.4766582,2.3735573
2.30E+02,-133.0385,-1.4797049,2.382251
2.35E+02,-132.95834,-1.479323,2.3995702
2.40E+02,-133.00797,-1.4766659,2.4104633
2.45E+02,-132.96596,-1.4779487,2.4245865
2.50E+02,-132.95453,-1.4819534,2.3725953
2.55E+02,-132.99651,-1.4824803,2.3758597
2.60E+02,-132.99268,-1.4834003,2.3906357
2.65E+02,-132.9507,-1.4833202,2.3979552
2.70E+02,-133.01559,-1.4859697,2.3807049
2.75E+02,-132.98888,-1.4828659,2.3810828
2.80E+02,-132.9736,-1.4822016,2.3907044
2.85E+02,-132.95451,-1.4834805,2.4026971
2.90E+02,-132.93163,-1.4845915,2.3830073
2.95E+02,-132.94688,-1.4857329,2.3884022
3.00E+02,-132.98123,-1.4844731,2.400979
3.05E+02,-132.9736,-1.4840533,2.4100165
3.10E+02,-132.9278,-1.4861643,2.3914261
