H2,O2,N2,CH4,CO,CO2,C2H4
0,0,0.09041301,0,0,0,0
0,0,0.08730765,0,0,0,0
0,0,0.0873409,0,0,0,0
0.00412286,0,0.08607452,0,0,0,0
0.01609882,0,0.08497669,0,0.00467296,0,0
0.05224719,0,0.08586543,0,0.02209765,0,0
0.05185376,0,0.08798366,0,0.02351509,0,0
0.05223466,0,0.09112819,0,0.02412394,0,0
0.05392144,0,0.09280956,0,0.02555771,0,0
0.05323716,0,0.09450823,0,0.02503385,0,0
0.05474101,0,0.09467587,0,0.02573201,0,0
0.05343835,0,0.09372973,0,0.02544391,0,0
0.00669549,0,0.22856527,0,0,0,0
0.00079128,0,0.11863911,0,0,0,0
0.00058458,0,0.17176139,0,0,0,0
0.00052657,0,0.1694072,0,0,0,0
0,0,0.17476744,0,0,0,0
